Stop: 290001361     381 buses per day
Stop: 290001364     381 buses per day
Stop: 2914536       381 buses per day
Stop: 290001367     376 buses per day
Stop: 2914535       372 buses per day
Stop: 110001221     372 buses per day
Stop: 290001223     372 buses per day
Stop: 290001226     287 buses per day
Stop: 290001227     365 buses per day
Stop: 290001229     365 buses per day
Stop: 290001230     365 buses per day
Stop: 2914476       365 buses per day
Stop: 110001176    1143 buses per day
Stop: 2914581      1143 buses per day
Stop: 1114085       744 buses per day
Stop: 110001180     744 buses per day
Stop: 110001182     744 buses per day
Stop: 110001184     744 buses per day
Stop: 1114274       744 buses per day
Stop: 110001186     417 buses per day
Stop: 1114189       300 buses per day
Stop: 1114190       300 buses per day
Stop: 1114254       291 buses per day
Stop: 110003353     291 buses per day
Stop: 1114305       213 buses per day
Stop: 110003350     381 buses per day
Stop: 110003351     381 buses per day
Stop: 1114267       156 buses per day
Stop: 110003357      78 buses per day
Stop: 110003356      78 buses per day
Stop: 2914562       156 buses per day
Stop: 1114308        78 buses per day
Stop: 1114309        78 buses per day
Stop: 1114306        78 buses per day
Stop: 2914580       151 buses per day
Stop: 290000440     269 buses per day
Stop: 290000439     269 buses per day
Stop: 2914467       367 buses per day
Stop: 290001244     275 buses per day
Stop: 290001243     275 buses per day
Stop: 290001241     275 buses per day
Stop: 2914546        80 buses per day
Stop: 290001238      80 buses per day
Stop: 290001235      80 buses per day
Stop: 290001234      80 buses per day
Stop: 290001231      80 buses per day
Stop: 2914561       151 buses per day
Stop: 290001232      81 buses per day
Stop: 290001233      81 buses per day
Stop: 290001236      81 buses per day
Stop: 290001237      81 buses per day
Stop: 290001239      81 buses per day
Stop: 2914591       278 buses per day
Stop: 290001242     278 buses per day
Stop: 2913529       278 buses per day
Stop: 2914593       278 buses per day
Stop: 290000447     369 buses per day
Stop: 2914594       274 buses per day
Stop: 290000443     274 buses per day
Stop: 290000441     195 buses per day
Stop: 290000444     375 buses per day
Stop: 2914577       195 buses per day
Stop: 2914579       195 buses per day
Stop: 290001250     195 buses per day
Stop: 290001251     195 buses per day
Stop: 640000011     195 buses per day
Stop: 290000012     267 buses per day
Stop: 2914567       392 buses per day
Stop: 290001254     269 buses per day
Stop: 2914550       232 buses per day
Stop: 6415276       197 buses per day
Stop: 290001257     197 buses per day
Stop: 2914597       197 buses per day
Stop: 2914576       197 buses per day
Stop: 410003412     241 buses per day
Stop: 4114499       241 buses per day
Stop: 410003401     241 buses per day
Stop: 4114558       241 buses per day
Stop: 410003398     241 buses per day
Stop: 2914568       247 buses per day
Stop: 410003397     247 buses per day
Stop: 410003399     247 buses per day
Stop: 410003402     247 buses per day
Stop: 7113150       294 buses per day
Stop: 7113155       812 buses per day
Stop: 7113134      1772 buses per day
Stop: 710000957     407 buses per day
Stop: 710000960     407 buses per day
Stop: 700017119     200 buses per day
Stop: 90013906      724 buses per day
Stop: 90015086     1086 buses per day
Stop: 90011797     1086 buses per day
Stop: 90008382      909 buses per day
Stop: 6714584       527 buses per day
Stop: 6714577       527 buses per day
Stop: 6714600       660 buses per day
Stop: 6700173      1058 buses per day
Stop: 670016554     179 buses per day
Stop: 670016556    1979 buses per day
Stop: 706334       1979 buses per day
Stop: 70016562      584 buses per day
Stop: 440015162     584 buses per day
Stop: 440015159     584 buses per day
Stop: 440015157     459 buses per day
Stop: 6311354      1023 buses per day
Stop: 340015463     130 buses per day
Stop: 340015464     743 buses per day
Stop: 340015489     192 buses per day
Stop: 340015490     192 buses per day
Stop: 340015024     856 buses per day
Stop: 340015025     619 buses per day
Stop: 340015026     602 buses per day
Stop: 340015374     184 buses per day
Stop: 3406947       409 buses per day
Stop: 340015492     807 buses per day
Stop: 340015475     368 buses per day
Stop: 340015479     260 buses per day
Stop: 3407158       368 buses per day
Stop: 340015482     368 buses per day
Stop: 340015483     130 buses per day
Stop: 340015389     130 buses per day
Stop: 340015390    1119 buses per day
Stop: 340015391    1119 buses per day
Stop: 340015455     130 buses per day
Stop: 3407077      1039 buses per day
Stop: 3407076      1039 buses per day
Stop: 440015164    1867 buses per day
